;model;score_train;score_test;diff_train_test;params
0;LogisticRegression_GS;0.7637296318648159;0.7643884892086332;-0.0006588573438173;{'C': 3}
0;RandomForestClassifier;0.777056603773585;0.7494749474947495;0.0275816562788354;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 50}
0;SVC;0.7637333333333333;0.7537810042347247;0.0099523290986085;None
0;AdaBoost_Logistic_Regression;0.7621355547141235;0.762361402457297;-0.0002258477431734;{'n_estimators': 100}
0;LinearSVC;0.7577992930690025;0.7559487492373399;0.0018505438316626;None
0;LogisticRegression_GS_with_f1_score;0.7637296318648159;0.7643884892086332;-0.0006588573438173206;{'C': 3}
0;AdaBoost_Logistic_Regression_With_F1;0.7621355547141235;0.762361402457297;-0.00022584774317346845;{'n_estimators': 100}
